,PLAYER_NAME,season_x,STL,BLK
93,Glenn Robinson III,2017,0.5942028985507246,0.2898550724637681
94,Goran Dragic,2017,1.2191780821917808,0.1780821917808219
95,Gordon Hayward,2017,1.0,0.273972602739726
96,Gorgui Dieng,2017,1.0731707317073171,1.1585365853658536
97,Greg Monroe,2017,1.1358024691358024,0.4691358024691358
98,Greivis Vasquez,2017,0.3333333333333333,0.3333333333333333
99,Harrison Barnes,2017,0.8227848101265823,0.189873417721519
100,Hassan Whiteside,2017,0.7402597402597403,2.090909090909091
101,Ian Clark,2017,0.5064935064935064,0.1038961038961039
102,Ian Mahinmi,2017,1.064516129032258,0.7741935483870968
103,Iman Shumpert,2017,0.8157894736842105,0.35526315789473684
104,Isaiah Canaan,2017,0.5641025641025641,0.02564102564102564
105,Isaiah Thomas,2017,0.9210526315789473,0.17105263157894737
106,J.J. Barea,2017,0.4,0.02857142857142857
107,JJ Redick,2017,0.6923076923076923,0.16666666666666666
108,JR Smith,2017,0.975609756097561,0.2682926829268293
109,JaMychal Green,2017,0.6103896103896104,0.44155844155844154
110,JaVale McGee,2017,0.24675324675324675,0.8701298701298701
111,Jabari Parker,2017,0.9803921568627451,0.43137254901960786
112,Jae Crowder,2017,1.0138888888888888,0.3194444444444444
113,Jahlil Okafor,2017,0.4,0.98
114,Jamal Crawford,2017,0.7439024390243902,0.17073170731707318
115,Jameer Nelson,2017,0.72,0.10666666666666667
116,James Harden,2017,1.4938271604938271,0.4691358024691358
117,James Johnson,2017,1.0,1.131578947368421
118,James Jones,2017,0.125,0.20833333333333334
119,James Michael McAdoo,2017,0.34615384615384615,0.5576923076923077
120,James Young,2017,0.3448275862068966,0.06896551724137931
121,Jared Dudley,2017,0.65625,0.25
122,Jared Sullinger,2017,0.36363636363636365,0.09090909090909091
123,Jarell Eddie,2017,0.2,0.0
124,Jarell Martin,2017,0.40476190476190477,0.21428571428571427
125,Jarrett Jack,2017,1.0,0.0
126,Jason Smith,2017,0.28378378378378377,0.7297297297297297
127,Jason Terry,2017,0.6216216216216216,0.2702702702702703
128,Jeff Teague,2017,1.2195121951219512,0.3902439024390244
129,Jeff Withey,2017,0.3137254901960784,0.6274509803921569
130,Jeremy Lamb,2017,0.43548387096774194,0.3709677419354839
131,Jeremy Lin,2017,1.1666666666666667,0.3888888888888889
132,Jerian Grant,2017,0.746031746031746,0.12698412698412698
133,Jerryd Bayless,2017,0.0,0.0
134,Jimmy Butler,2017,1.881578947368421,0.42105263157894735
